DATE,TIME,YEAR,MONTH,DAY,WEEKDAY,HOUR,ACCLOC,IMPACTYPE
2006-01-01,,2006,1,1,Sunday,,Intersection Related,Approaching
2006-01-01,,2006,1,1,Sunday,,Intersection Related,Approaching
2006-01-01,,2006,1,1,Sunday,,Intersection Related,Approaching
2006-01-01,,2006,1,1,Sunday,,Intersection Related,Approaching
2006-01-01,,2006,1,1,Sunday,,Intersection Related,Approaching
2006-01-01,,2006,1,1,Sunday,,Intersection Related,Approaching
2006-01-01,,2006,1,1,Sunday,,Intersection Related,Approaching
2006-01-01,,2006,1,1,Sunday,,Intersection Related,Approaching
2006-01-01,,2006,1,1,Sunday,,Intersection Related,SMV Other
2006-01-01,,2006,1,1,Sunday,,Intersection Related,SMV Other
2006-01-01,,2006,1,1,Sunday,,Intersection Related,SMV Other
2006-01-01,,2006,1,1,Sunday,,Intersection Related,SMV Other
2006-01-01,,2006,1,1,Sunday,,Intersection Related,SMV Other
2006-01-02,,2006,1,2,Monday,,,Pedestrian Collisions
2006-01-02,,2006,1,2,Monday,,,Pedestrian Collisions
2006-01-04,,2006,1,4,Wednesday,,At Intersection,Pedestrian Collisions
2006-01-04,,2006,1,4,Wednesday,,At Intersection,Pedestrian Collisions
2006-01-06,,2006,1,6,Friday,,At Intersection,Pedestrian Collisions
2006-01-06,,2006,1,6,Friday,,At Intersection,Pedestrian Collisions
2006-01-07,,2006,1,7,Saturday,,,Approaching
2006-01-07,,2006,1,7,Saturday,,,Approaching
2006-01-07,,2006,1,7,Saturday,,,Approaching
2006-01-08,,2006,1,8,Sunday,,At Intersection,Angle
2006-01-08,,2006,1,8,Sunday,,At Intersection,Angle
2006-01-08,,2006,1,8,Sunday,,At Intersection,Angle
2006-01-08,,2006,1,8,Sunday,,At Intersection,Angle
2006-01-08,,2006,1,8,Sunday,,At Intersection,Pedestrian Collisions
2006-01-08,,2006,1,8,Sunday,,At Intersection,Pedestrian Collisions
2006-01-08,,2006,1,8,Sunday,,At Intersection,Pedestrian Collisions
2006-01-08,,2006,1,8,Sunday,,At Intersection,Pedestrian Collisions
2006-01-08,,2006,1,8,Sunday,,At Intersection,Pedestrian Collisions
2006-01-08,,2006,1,8,Sunday,,At Intersection,Pedestrian Collisions
2006-01-09,,2006,1,9,Monday,,At Intersection,Pedestrian Collisions
2006-01-09,,2006,1,9,Monday,,At Intersection,Pedestrian Collisions
2006-01-09,,2006,1,9,Monday,,At Intersection,Pedestrian Collisions
2006-01-09,,2006,1,9,Monday,,At Intersection,Pedestrian Collisions
2006-01-09,,2006,1,9,Monday,,At Intersection,Pedestrian Collisions
2006-01-09,,2006,1,9,Monday,,At Intersection,Pedestrian Collisions
2006-01-10,,2006,1,10,Tuesday,,At Intersection,Approaching
2006-01-10,,2006,1,10,Tuesday,,At Intersection,Approaching
2006-01-11,,2006,1,11,Wednesday,,,SMV Other
2006-01-11,,2006,1,11,Wednesday,,,SMV Other
2006-01-11,,2006,1,11,Wednesday,,,SMV Other
2006-01-11,,2006,1,11,Wednesday,,,SMV Other
2006-01-11,,2006,1,11,Wednesday,,,SMV Other
2006-01-11,,2006,1,11,Wednesday,,,SMV Other
2006-01-14,,2006,1,14,Saturday,,,Pedestrian Collisions
2006-01-14,,2006,1,14,Saturday,,,Pedestrian Collisions
2006-01-14,,2006,1,14,Saturday,,,Pedestrian Collisions
2006-01-14,,2006,1,14,Saturday,,,Pedestrian Collisions
2006-01-14,,2006,1,14,Saturday,,,Pedestrian Collisions
2006-01-15,,2006,1,15,Sunday,,,Pedestrian Collisions
2006-01-15,,2006,1,15,Sunday,,,Pedestrian Collisions
2006-01-17,,2006,1,17,Tuesday,,At Intersection,Pedestrian Collisions
2006-01-17,,2006,1,17,Tuesday,,At Intersection,Pedestrian Collisions
2006-01-17,,2006,1,17,Tuesday,,At Intersection,Pedestrian Collisions
2006-01-17,,2006,1,17,Tuesday,,At Intersection,Pedestrian Collisions
2006-01-17,,2006,1,17,Tuesday,,,Pedestrian Collisions
2006-01-17,,2006,1,17,Tuesday,,,Pedestrian Collisions
2006-01-17,,2006,1,17,Tuesday,,,Pedestrian Collisions
2006-01-21,,2006,1,21,Saturday,,At Intersection,Pedestrian Collisions
2006-01-21,,2006,1,21,Saturday,,At Intersection,Pedestrian Collisions
2006-01-21,,2006,1,21,Saturday,,At Intersection,Pedestrian Collisions
2006-01-22,,2006,1,22,Sunday,,,Pedestrian Collisions
2006-01-22,,2006,1,22,Sunday,,,Pedestrian Collisions
2006-01-22,,2006,1,22,Sunday,,,Pedestrian Collisions
2006-01-22,,2006,1,22,Sunday,,At Intersection,Pedestrian Collisions
2006-01-22,,2006,1,22,Sunday,,At Intersection,Pedestrian Collisions
2006-01-22,,2006,1,22,Sunday,,At Intersection,Pedestrian Collisions
2006-01-24,,2006,1,24,Tuesday,,,Angle
2006-01-24,,2006,1,24,Tuesday,,,Angle
2006-01-24,,2006,1,24,Tuesday,,,Angle
2006-01-24,,2006,1,24,Tuesday,,,Angle
2006-01-24,,2006,1,24,Tuesday,,At Intersection,Pedestrian Collisions
2006-01-24,,2006,1,24,Tuesday,,At Intersection,Pedestrian Collisions
2006-01-24,,2006,1,24,Tuesday,,At Intersection,Pedestrian Collisions
2006-01-24,,2006,1,24,Tuesday,,At Intersection,Turning Movement
2006-01-24,,2006,1,24,Tuesday,,At Intersection,Turning Movement
2006-01-24,,2006,1,24,Tuesday,,At Intersection,Turning Movement
2006-01-24,,2006,1,24,Tuesday,,At Intersection,Turning Movement
2006-01-24,,2006,1,24,Tuesday,,At Intersection,Turning Movement
2006-01-24,,2006,1,24,Tuesday,,At Intersection,Turning Movement
2006-01-27,,2006,1,27,Friday,,At Intersection,Pedestrian Collisions
2006-01-27,,2006,1,27,Friday,,At Intersection,Pedestrian Collisions
2006-01-27,,2006,1,27,Friday,,At Intersection,Pedestrian Collisions
2006-01-27,,2006,1,27,Friday,,At Intersection,Pedestrian Collisions
2006-01-27,,2006,1,27,Friday,,At Intersection,Pedestrian Collisions
2006-01-27,,2006,1,27,Friday,,At Intersection,SMV Other
2006-01-27,,2006,1,27,Friday,,At Intersection,SMV Other
2006-01-27,,2006,1,27,Friday,,At Intersection,SMV Other
2006-01-29,,2006,1,29,Sunday,,,Pedestrian Collisions
2006-01-29,,2006,1,29,Sunday,,,Pedestrian Collisions
2006-01-29,,2006,1,29,Sunday,,At Intersection,Pedestrian Collisions
2006-01-29,,2006,1,29,Sunday,,At Intersection,Pedestrian Collisions
2006-02-02,,2006,2,2,Thursday,,At Intersection,Turning Movement
2006-02-02,,2006,2,2,Thursday,,At Intersection,Turning Movement
2006-02-02,,2006,2,2,Thursday,,At Intersection,Turning Movement
2006-02-02,,2006,2,2,Thursday,,At Intersection,Turning Movement
2006-02-03,,2006,2,3,Friday,,At Intersection,Pedestrian Collisions
2006-02-03,,2006,2,3,Friday,,At Intersection,Pedestrian Collisions
2006-02-03,,2006,2,3,Friday,,At Intersection,Pedestrian Collisions
2006-02-03,,2006,2,3,Friday,,At Intersection,Pedestrian Collisions
2006-02-07,,2006,2,7,Tuesday,,,Pedestrian Collisions
2006-02-07,,2006,2,7,Tuesday,,,Pedestrian Collisions
2006-02-08,,2006,2,8,Wednesday,,At Intersection,Pedestrian Collisions
2006-02-08,,2006,2,8,Wednesday,,At Intersection,Pedestrian Collisions
2006-02-08,,2006,2,8,Wednesday,,,Pedestrian Collisions
2006-02-08,,2006,2,8,Wednesday,,,Pedestrian Collisions
2006-02-11,,2006,2,11,Saturday,,At Intersection,Cyclist Collisions
2006-02-11,,2006,2,11,Saturday,,At Intersection,Cyclist Collisions
2006-02-12,,2006,2,12,Sunday,,,Approaching
2006-02-12,,2006,2,12,Sunday,,,Approaching
2006-02-12,,2006,2,12,Sunday,,,Approaching
2006-02-12,,2006,2,12,Sunday,,,Approaching
2006-02-12,,2006,2,12,Sunday,,,Approaching
2006-02-12,,2006,2,12,Sunday,,,Approaching
2006-02-12,,2006,2,12,Sunday,,,Rear End
2006-02-12,,2006,2,12,Sunday,,,Rear End
2006-02-12,,2006,2,12,Sunday,,,Rear End
2006-02-12,,2006,2,12,Sunday,,,Rear End
2006-02-12,,2006,2,12,Sunday,,,Rear End
2006-02-12,,2006,2,12,Sunday,,,Rear End
2006-02-13,,2006,2,13,Monday,,At Intersection,Pedestrian Collisions
2006-02-13,,2006,2,13,Monday,,At Intersection,Pedestrian Collisions
2006-02-13,,2006,2,13,Monday,,At Intersection,Pedestrian Collisions
